id_programa,nombre_programa,nivel_academico,nombre_facultad,modalidad,jornada
6606,HERRAMIENTAS PARA LA PROMOCION DE LOS DERECHOS HUMANOS SEXUALES Y REPRODUCTIVOS A TRAVES DEL TRABAJO EN RED Y EL EJERCICIO DE LA CIUDADANIA EN EL MARCO DEL CONPES SOCIAL 147,CURSO ESPECIAL,CENTRO DE COMERCIO Y SERVICIOS,PRESENCIAL,COMPLETA
6607,ACTUALIZACION EN OPERACION DE MAQUINA MONTACARGAS,CURSO ESPECIAL,CENTRO DE COMERCIO Y SERVICIOS,PRESENCIAL,COMPLETA
6608,ELABORACION DE PRODUCTOS ARTESANALES EN MACRAME.,CURSO ESPECIAL,CENTRO AGROINDUSTRIAL Y FORTALECIMIENTO EMPRESARIAL DE CASANARE,PRESENCIAL,COMPLETA
6609,SISTEMA DE GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO SG-SST,CURSO ESPECIAL,CENTRO DE GESTION TECNOLOGICA DE SERVICIOS,VIRTUAL,COMPLETA
6610,MANEJO DE HERRAMIENTAS MICROSOFT OFFICE 2016: EXCEL,CURSO ESPECIAL,"CENTRO DE ELECTRICIDAD, ELECTRONICA Y TELECOMUNICACIONES",VIRTUAL,COMPLETA
6611,"MANTENIMIENTO DE EQUIPOS DE REFRIGERACION, VENTILACION Y CLIMATIZACION",TECNICO,CENTRO TECNOLOGICO DE LA AMAZONIA,PRESENCIAL,COMPLETA
6612,ELABORACION DE AUDIOVISUALES.,TECNICO,CENTRO DE TECNOLOGIAS AGROINDUSTRIALES,PRESENCIAL,COMPLETA
6613,MONITOREO AMBIENTAL,TECNICO,CENTRO DE FORMACION AGROINDUSTRIAL,PRESENCIAL,COMPLETA
6614,CONFECCION DE PRENDAS DEPORTIVAS,CURSO ESPECIAL,CENTRO DE DISEÑO TECNOLOGICO INDUSTRIAL,PRESENCIAL,COMPLETA
6615,SERVICIO TECNICO A EQUIPOS DE REFRIGERACION CON R - 600A,CURSO ESPECIAL,CENTRO NAUTICO PESQUERO DE BUENAVENTURA,PRESENCIAL,COMPLETA
6616,PROGRAMACION DE SOFTWARE .,TECNICO,CENTRO INTERNACIONAL DE PRODUCCION LIMPIA - LOPE,PRESENCIAL,COMPLETA
6617,SOLDADURA DE PLATINA CON PROCESO SMAW EN FILETE.,CURSO ESPECIAL,CENTRO PARA LA INDUSTRIA PETROQUIMICA,PRESENCIAL,COMPLETA
6618,SERVICIO DE RESTAURANTE Y BAR,TECNICO,"CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS",PRESENCIAL,COMPLETA
6619,PLASTIFICADO DE PRODUCTOS GRAFICOS,CURSO ESPECIAL,CENTRO PARA EL DESARROLLO TECNOLOGICO DE LA CONSTRUCCION Y LA INDUSTRIA,PRESENCIAL,COMPLETA
6620,TECNICO EN OPERACIONES FORESTALES.,TECNICO,CENTRO AGROINDUSTRIAL Y FORTALECIMIENTO EMPRESARIAL DE CASANARE,PRESENCIAL,COMPLETA
6621,EMPRENDEDOR EN PRESTACION DE SERVICIOS DE ALOJAMIENTOS RURALES,CURSO ESPECIAL,CENTRO DE DESARROLLO AGROINDUSTRIAL Y EMPRESARIAL,PRESENCIAL,COMPLETA
6622,OPERACION TURISTICA LOCAL,TECNICO,CENTRO DE BIOTECNOLOGIA INDUSTRIAL,PRESENCIAL,COMPLETA
6623,HERRAMIENTAS PARA LA GESTION DEL TALENTO HUMANO,CURSO ESPECIAL,CENTRO AGROPECUARIO LA GRANJA,VIRTUAL,COMPLETA
6624,ASISTENCIA ADMINISTRATIVA .,TECNICO,CENTRO PARA LA BIODIVERSIDAD Y EL TURISMO DEL AMAZONAS,PRESENCIAL,COMPLETA
6625,PRODUCCION DE SONIDO PARA MEDIOS AUDIOVISUALES.,TECNOLOGO,"CENTRO DE GESTION DE MERCADOS, LOGISTICA Y TECNOLOGIAS DE LA INFORMACION",PRESENCIAL,COMPLETA
6626,ANIMACION 3D.,TECNOLOGO,CENTRO DE OPERACION Y MANTENIMIENTO MINERO,PRESENCIAL,COMPLETA
6627,SERVICIOS DE AGENCIAS DE VIAJES,TECNICO,"CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS",PRESENCIAL,COMPLETA
6628,GASTRONOMIA COLOMBIANA,CURSO ESPECIAL,CENTRO DE FORMACION AGROINDUSTRIAL,VIRTUAL,COMPLETA
6629,ASISTENCIA EN ORGANIZACION DE ARCHIVOS .,TECNICO,CENTRO AGROEMPRESARIAL Y ACUICOLA,PRESENCIAL,COMPLETA
6630,ELECTRICIDAD INDUSTRIAL,TECNOLOGO,CENTRO PARA EL DESARROLLO TECNOLOGICO DE LA CONSTRUCCION Y LA INDUSTRIA,PRESENCIAL,COMPLETA
6631,MERCADEO Y VENTAS,CURSO ESPECIAL,CENTRO TECNOLOGICO DE LA AMAZONIA,PRESENCIAL,COMPLETA
6632,SISTEMAS CONTRA INCENDIOS A BASE DE AGUA EN EDIFICACIONES,TECNICO,CENTRO DE TECNOLOGIAS PARA LA CONSTRUCCION Y LA MADERA,PRESENCIAL,COMPLETA
6633,CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS.,TECNICO,CENTRO AGROEMPRESARIAL Y TURISTICO DE LOS ANDES,PRESENCIAL,COMPLETA
6634,MOLDURADO DE MADERAS,CURSO ESPECIAL,CENTRO DE DISEÑO E INNOVACION TECNOLOGICA INDUSTRIAL,PRESENCIAL,COMPLETA
6635,GESTION DEL TALENTO HUMANO,TECNOLOGO,"CENTRO DE DESARROLLO AGROINDUSTRIAL, TURISTICO Y TECNOLOGICO DEL GUAVIARE",PRESENCIAL,COMPLETA
6636,SERVICIOS DE BARISMO,TECNICO,CENTRO DE BIOTECNOLOGIA AGROPECUARIA,PRESENCIAL,COMPLETA
