id_estudiante,tipo_iden_est,edad,grupo_edad,genero,estrato,estrato_num,grupo_estrato,origen_geografico,departamento,lugar_expedicion
186,C.C.,23,21-25,M,2,2.0,BAJO,SOCHA,SOCHA,DUITAMA
187,C.C.,36,31+,M,SIN INFORMACIÓN,,,DUITAMA,DUITAMA,DUITAMA
188,C.C.,37,31+,F,SIN INFORMACIÓN,,,SOATÁ,SOATÁ,SOATÁ
189,C.C.,35,31+,F,2,2.0,BAJO,BOGOTÁ D.C.,BOGOTÁ,TIBANÁ
190,C.C.,26,26-30,F,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
191,C.C.,26,26-30,F,SIN INFORMACIÓN,,,VILLAPINZÓN,VILLAPINZÓN,CHOCONTÁ
192,C.C.,37,31+,F,2,2.0,BAJO,TIBANÁ,TIBANÁ,TIBANÁ
193,C.C.,26,26-30,F,1,1.0,BAJO,LA BELLEZA,LA,LA BELLEZA
194,C.C.,25,21-25,M,2,2.0,BAJO,CHIQUINQUIRÁ,CHIQUINQUIRÁ,TUNJA
195,C.C.,27,26-30,F,1,1.0,BAJO,SAN PABLO DE BORBUR,SAN,CHIQUINQUIRÁ
196,C.C.,29,26-30,F,1,1.0,BAJO,BOGOTA D.E,BOGOTA,CHIQUINQUIRÁ
197,C.C.,32,31+,F,SIN INFORMACIÓN,,,ALBANIA,ALBANIA,ALBANIA
198,C.C.,28,26-30,F,2,2.0,BAJO,GAMEZA,GAMEZA,GAMEZA
199,C.C.,28,26-30,F,1,1.0,BAJO,SAN MATEO,SAN,SOATÁ
200,C.C.,36,31+,F,2,2.0,BAJO,BOGOTA D.E,BOGOTA,AGUAZUL
201,C.C.,38,31+,F,SIN INFORMACIÓN,,,PORE,PORE,TRINIDAD
202,C.C.,33,31+,F,1,1.0,BAJO,YOPAL,YOPAL,YOPAL
203,C.C.,40,31+,M,SIN INFORMACIÓN,,,CHÍA,CHÍA,CHÍA
204,C.C.,39,31+,F,2,2.0,BAJO,BELÉN,BELÉN,BELÉN
205,C.C.,52,31+,F,2,2.0,BAJO,CAQUEZA,CAQUEZA,VILLAVICENCIO
206,C.C.,39,31+,M,SIN INFORMACIÓN,,,LETICIA,LETICIA,LETICIA
207,C.C.,22,21-25,F,2,2.0,BAJO,BOGOTÁ D.C.,BOGOTÁ,VILLANUEVA
208,C.C.,23,21-25,F,1,1.0,BAJO,VILLAPINZÓN,VILLAPINZÓN,VILLAPINZÓN
209,T.I.,22,21-25,F,1,1.0,BAJO,SOATÁ,SOATÁ,SUSACÓN
210,C.C.,33,31+,F,2,2.0,BAJO,SOGAMOSO,SOGAMOSO,SOGAMOSO
211,C.C.,27,26-30,F,2,2.0,BAJO,SOGAMOSO,SOGAMOSO,SOGAMOSO
212,C.C.,23,21-25,F,1,1.0,BAJO,PORE,PORE,PORE
213,C.C.,23,21-25,F,2,2.0,BAJO,SOGAMOSO,SOGAMOSO,SOGAMOSO
214,C.C.,31,31+,F,3,3.0,MEDIO,PUENTE NACIONAL,PUENTE,PUENTE NACIONAL
215,C.C.,23,21-25,M,2,2.0,BAJO,CHAMEZA,CHAMEZA,CHAMEZA
216,C.C.,27,26-30,M,3,3.0,MEDIO,DUITAMA,DUITAMA,TUNJA
217,C.C.,27,26-30,M,1,1.0,BAJO,RAMIRIQUÍ,RAMIRIQUÍ,RAMIRIQUÍ
218,C.C.,27,26-30,M,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
219,T.I.,22,21-25,M,2,2.0,BAJO,DUITAMA,DUITAMA,DUITAMA
220,C.C.,25,21-25,M,3,3.0,MEDIO,DUITAMA,DUITAMA,DUITAMA
221,C.C.,24,21-25,M,2,2.0,BAJO,DUITAMA,DUITAMA,DUITAMA
222,C.C.,33,31+,M,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
223,C.C.,22,21-25,M,2,2.0,BAJO,BUCARAMANGA,BUCARAMANGA,BUCARAMANGA
224,C.C.,25,21-25,M,2,2.0,BAJO,DUITAMA,DUITAMA,DUITAMA
225,C.C.,24,21-25,M,2,2.0,BAJO,ARAUCA,ARAUCA,ARAUCA
226,C.C.,25,21-25,M,3,3.0,MEDIO,YOPAL,YOPAL,YOPAL
227,C.C.,26,26-30,F,1,1.0,BAJO,MONTERREY,MONTERREY,MONTERREY
228,C.C.,23,21-25,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
229,C.C.,24,21-25,M,2,2.0,BAJO,PAIPA,PAIPA,PAIPA
230,C.C.,34,31+,F,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
231,C.C.,29,26-30,M,2,2.0,BAJO,SOGAMOSO,SOGAMOSO,SOGAMOSO
232,C.C.,40,31+,F,2,2.0,BAJO,PAIPA,PAIPA,TUNJA
233,C.C.,30,26-30,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
234,C.C.,27,26-30,M,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
235,C.C.,31,31+,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
236,T.I.,23,21-25,M,1,1.0,BAJO,TUNJA,TUNJA,PAIPA
237,C.C.,24,21-25,M,2,2.0,BAJO,FIRAVITOBA,FIRAVITOBA,FIRAVITOBA
238,C.C.,33,31+,F,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
239,C.C.,27,26-30,M,3,3.0,MEDIO,TUNJA,TUNJA,TUNJA
240,C.C.,28,26-30,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
241,C.C.,39,31+,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
242,C.C.,23,21-25,M,2,2.0,BAJO,YOPAL,YOPAL,YOPAL
243,C.C.,24,21-25,M,2,2.0,BAJO,DUITAMA,DUITAMA,DUITAMA
244,C.C.,24,21-25,F,3,3.0,MEDIO,ELÍAS,ELÍAS,PAIPA
245,T.I.,22,21-25,F,3,3.0,MEDIO,TUNJA,TUNJA,TUNJA
246,C.C.,23,21-25,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
247,C.C.,29,26-30,M,1,1.0,BAJO,DUITAMA,DUITAMA,DUITAMA
248,C.C.,27,26-30,M,1,1.0,BAJO,GUAMAL,GUAMAL,BOGOTÁ D.C.
249,C.C.,25,21-25,M,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
250,C.C.,26,26-30,F,3,3.0,MEDIO,TUNJA,TUNJA,TUNJA
251,C.C.,23,21-25,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
252,C.C.,28,26-30,M,1,1.0,BAJO,SAMACÁ,SAMACÁ,SAMACÁ
253,C.C.,22,21-25,F,4,4.0,MEDIO,TUNJA,TUNJA,TUNJA
254,C.C.,29,26-30,F,3,3.0,MEDIO,TUNJA,TUNJA,TUNJA
255,C.C.,25,21-25,M,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
256,C.C.,31,31+,M,1,1.0,BAJO,MONIQUIRÁ,MONIQUIRÁ,BARBOSA
257,C.C.,24,21-25,M,1,1.0,BAJO,BOGOTA D.E,BOGOTA,VILLANUEVA
258,C.C.,24,21-25,F,3,3.0,MEDIO,TUNJA,TUNJA,BOGOTA D.E
259,T.I.,21,21-25,F,1,1.0,BAJO,CAMPOHERMOSO,CAMPOHERMOSO,CAMPOHERMOSO
260,T.I.,21,21-25,M,2,2.0,BAJO,YOPAL,YOPAL,TAME
261,C.C.,23,21-25,F,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
262,C.C.,24,21-25,F,1,1.0,BAJO,YOPAL,YOPAL,YOPAL
