periodo,nombre_facultad,nombre_programa,jornada,modalidad,nombre_sede,tipo_iden_est,fecha_nacimiento,genero,estrato,nombre_estado,origen_geografico,lugar_expedicion,edad,grupo_edad,periodo_año,periodo_semestre,estrato_num,grupo_estrato,institucion,tipo_desercion,es_desertor
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,DIURNA,PRESENCIAL,TUNJA,C.C.,1998-03-03,F,2,PERDIO CUPO A130/98 ART. 80 LIT. B,BOGOTÁ D.C.,BOGOTÁ D.C.,25,21-25,2021.0,1,2.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,DIURNA,PRESENCIAL,TUNJA,C.C.,1997-05-10,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B,PAIPA,PAIPA,26,26-30,2021.0,1,2.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,DIURNA,PRESENCIAL,TUNJA,C.C.,1997-09-02,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B,DUITAMA,DUITAMA,26,26-30,2021.0,1,2.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,DIURNA,PRESENCIAL,TUNJA,C.C.,1995-06-10,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C,ARCABUCO,ARCABUCO,28,26-30,2021.0,1,1.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,DIURNA,PRESENCIAL,TUNJA,C.C.,1997-03-03,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B,SOGAMOSO,MONGUÍ,26,26-30,2021.0,1,2.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,DIURNA,PRESENCIAL,TUNJA,C.C.,2000-03-13,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C,BOGOTÁ D.C.,FACATATIVÁ,23,21-25,2021.0,1,1.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,DIURNA,PRESENCIAL,TUNJA,T.I.,2003-02-03,M,3,PERDIO CUPO A130/98 ART. 80 LIT. B,VILLAVICENCIO,VILLAVICENCIO,20,16-20,2021.0,1,3.0,MEDIO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,DIURNA,PRESENCIAL,TUNJA,C.C.,2001-05-23,F,3,PERDIO CUPO A130/98 ART. 80 LIT. C,BOGOTÁ D.C.,BOGOTA D.E,22,21-25,2021.0,1,3.0,MEDIO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,DIURNA,PRESENCIAL,TUNJA,C.C.,2000-04-28,F,4,PERDIO CUPO A130/98 ART.80 LIT. E,TUNJA,TUNJA,23,21-25,2021.0,1,4.0,MEDIO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,DIURNA,PRESENCIAL,TUNJA,C.C.,2001-03-28,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B,BOGOTÁ D.C.,BOGOTÁ D.C.,22,21-25,2021.0,1,2.0,BAJO,UPTC,ACADEMICA,1
